bottle_id,camera_name,frame_number,ocr_text,confidence,timestamp,processing_time
-1,Front,0,PRIMAGAZ,0.5397577426281751,1763319440.6716568,1763319440.6716585
-1,Front,0,interen,0.6457508090675315,1763319441.2787664,1763319441.278768
-1,Front,0,Interen,0.5984628761009916,1763319442.0208194,1763319442.0208201
-1,Front,0,Inference,0.5579314591563665,1763319442.8884034,1763319442.8884041
-1,Front,0,Interen,0.6702538225906368,1763319443.720805,1763319443.7208054
-1,Front,0,interen,0.516991534773411,1763319444.4871247,1763319444.4871254
-1,Front,0,Intteren,0.6291560938362857,1763319446.5193791,1763319446.5193803
9,Front,0,Interence,0.606413165001978,1763319447.5673082,1763319447.5673096
-1,Front,0,ntercnc-,0.5753694746396162,1763319448.269619,1763319448.26962
-1,Front,0,Interen,0.705206217945289,1763319451.955367,1763319451.955369
-1,Front,0,PRIMAC,0.9616725026641281,1763319452.8681524,1763319452.8681536
15,Front,0,Inferenco,0.5046449327139867,1763319453.7004905,1763319453.7004914
-1,Front,0,AZ,0.612725199237419,1763319454.3255992,1763319454.325601
17,Front,0,Inferenco,0.5046449327139867,1763319455.2265348,1763319455.2265353
21,Front,0,Inferenc,0.9099834099153233,1763319459.6571982,1763319459.657199
-1,Front,0,Inferenco,0.5046449327139867,1763319460.502507,1763319460.5025077
24,Front,0,Inferenco,0.5046449327139867,1763319461.9466798,1763319461.9466805
25,Front,0,4u,0.5047275094850683,1763319462.6384578,1763319462.6384587
26,Front,0,Prim,0.7760928273200989,1763319463.0630453,1763319463.0630465
27,Front,0,GAZ,0.98932697410847,1763319463.661227,1763319463.6612275
28,Front,0,'RIMAGAZ,0.8280948497282283,1763319464.1843,1763319464.184301
29,Front,0,Interencc,0.6373932869227723,1763319464.5808783,1763319464.5808792
-1,Front,0,PRIMA,0.8028225270937136,1763319464.9554493,1763319464.955454
-1,Front,0,Inferenc,0.9303136855381314,1763319465.9670005,1763319465.9670014
-1,Front,0,RIMA Inference,0.7785514772969944,1763319466.5502818,1763319466.5502825
-1,Front,0,Inferenco,0.5046449327139867,1763319467.0835283,1763319467.0835288
-1,Front,0,Inferenco,0.5046449327139867,1763319467.7546766,1763319467.754677
36,Front,0,4u- GAZ,0.6287419076290388,1763319468.7022455,1763319468.7022464
-1,Front,0,Inferenco,0.5046449327139867,1763319469.4102821,1763319469.410283
-1,Front,0,Inferer,0.8390550023521688,1763319470.0352945,1763319470.035295
-1,Front,0,interence,0.5908036100797782,1763319471.2783437,1763319471.2783442
-1,Front,0,interen,0.5782609691482601,1763319473.2251565,1763319473.2251573
-1,Front,0,PR,0.8301417514079469,1763319473.8920658,1763319473.8920665
-1,Front,0,Inferenco,0.5046449327139867,1763319474.5761604,1763319474.5761614
-1,Front,0,Jnteren,0.6332621684447038,1763319475.0186598,1763319475.0186613
46,Front,0,10,0.7935029032410933,1763319476.2189534,1763319476.2189543
47,Front,0,Inferen,0.9959195270623886,1763319476.454182,1763319476.4541836
48,Front,0,UMAGAZ,0.576221185092161,1763319477.4583058,1763319477.4583085
49,Front,0,nteron,0.525662109521148,1763319477.9568815,1763319477.9568827
50,Front,0,19,0.8296326211209497,1763319479.0038497,1763319479.0038505
-1,Front,0,Inferen,0.7415616987572317,1763319479.3971446,1763319479.3971467
-1,Front,0,nteronc,0.6235703420657467,1763319480.3008032,1763319480.3008041
-1,Front,0,Inferen,0.9088638967828143,1763319481.0329154,1763319481.0329165
-1,Front,0,Inferenco,0.5046449327139867,1763319483.5758493,1763319483.5758502
57,Front,0,interenc-,0.6081410535751332,1763319486.166956,1763319486.166958
-1,Front,0,Inferenco,0.5046449327139867,1763319487.057106,1763319487.057107
-1,Front,0,MMAAGAZ,0.712112627312459,1763319487.3445604,1763319487.3445616
-1,Front,0,nteren,0.8701266618178626,1763319487.8408453,1763319487.8408473
-1,Front,0,nteronc,0.6257060644433687,1763319488.806745,1763319488.8067465
-1,Front,0,"""RIMAGAI",0.5857378329185122,1763319496.7634497,1763319496.7634506
65,Front,0,Ucuc,0.5941267013549805,1763319497.8548305,1763319497.854832
66,Front,0,Gaz,0.6260801705309745,1763319498.3801394,1763319498.380141
-1,Front,0,Inferenco,0.5046449327139867,1763319499.0498278,1763319499.049829
-1,Front,0,MAGAZ,0.9984420262932194,1763319500.0238247,1763319500.023826
69,Front,0,MAGA,0.9992274045944214,1763319500.840568,1763319500.8405702
70,Front,0,PRIMAGA,0.5413299743997212,1763319501.5026112,1763319501.5026133
